"published_date","description","location","currency","price","bedrooms","bathrooms","toilets"
"Updated 19 Dec 2020, Added 21 Jun 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Chevron Lekki Lagos","<U+20A6>","52,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 10 Jun 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","150,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 26 Nov 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Ikota VillaIkota Lekki Lagos","<U+20A6>","30,000,000","3 beds","3 baths","4 Toilets"
"Updated 19 Dec 2020, Added 24 Jul 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Lekki County Area Chevron Lekki Lagos","<U+20A6>","43,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 18 Feb 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","85,000,000","3 beds","4 baths","4 Toilets"
"Updated 19 Dec 2020, Added 05 Oct 2020","4 BEDROOM SELF CONTAIN FLAT / APARTMENT FOR SALE","Parkview Estate Ikoyi Lagos","<U+20A6>","205,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 15 Jul 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Orchid RoadChevron Lekki Lagos","<U+20A6>","75,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 17 Mar 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ikate ElegushiIkate Lekki Lagos","<U+20A6>","65,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 07 Nov 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","...Galadinmawa Abuja","<U+20A6>","33,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 06 Nov 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Karsana Abuja","<U+20A6>","135,000,000","5 beds","6 baths","7 Toilets"
"Updated 19 Dec 2020, Added 04 May 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Osapa London Lekki Lagos","<U+20A6>","90,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 18 Jul 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Off Kusenla Road Ikate Lekki Lagos","<U+20A6>","135,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 27 Sep 2019","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Close 107 Plot M22Banana Island Ikoyi Lagos","<U+20A6>","520,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 18 Sep 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ikate Lekki Lagos","<U+20A6>","65,000,000","4 beds","4 baths","5 Toilets"
